TimeDomainData,recording,SampleRateInHz
-54.6468895567,0,250
-49.6588367574,0,250
-53.3167421436,0,250
-47.7744612554,0,250
-52.8733596725,0,250
-46.3334682245,0,250
-52.651668437,0,250
-48.439534962,0,250
-50.8781385528,0,250
-45.7792401357,0,250
-52.3191315837,0,250
-46.4443138423,0,250
-47.3310787844,0,250
-42.0104891318,0,250
-45.4467032824,0,250
-37.4658188036,0,250
-42.3430259851,0,250
-36.4682082437,0,250
-43.2297909272,0,250
-37.5766644213,0,250
-42.5647172206,0,250
-35.6922889194,0,250
-37.1332819503,0,250
-30.3716992668,0,250
-34.3621415062,0,250
-29.7066255602,0,250
-34.8055239773,0,250
-28.5981693826,0,250
-31.5910010622,0,250
-26.6029482629,0,250
-30.9259273556,0,250
-23.27757973,0,250
-28.9307062359,0,250
-22.7233516412,0,250
-27.6005588228,0,250
-22.9450428767,0,250
-28.1547869116,0,250
-23.1667341123,0,250
-27.2680219695,0,250
